order_id,product,category,region,order_date,sales,cost
ORD1000,Pen,Office Supplies,East,2022-01-01,497.24,254.11286545859238
ORD1001,Laptop,Furniture,North,2022-01-02,1128.75,576.8439725009777
ORD1002,Monitor,Furniture,West,2022-01-03,1421.99,726.7033093746758
ORD1003,Laptop,Furniture,South,2022-01-04,534.25,273.0267041494107
ORD1004,Laptop,Office Supplies,South,2022-01-05,432.41,220.98170733036346
ORD1005,Table,Furniture,North,2022-01-06,1966.12,1004.7791550065313
ORD1006,Monitor,Furniture,North,2022-01-07,1081.61,552.753230650527
ORD1007,Monitor,Office Supplies,West,2022-01-08,595.58,304.36919879701645
ORD1008,Monitor,Office Supplies,South,2022-01-09,1992.88,1018.4547649326676
ORD1009,Laptop,Office Supplies,South,2022-01-10,1934.3,988.5176487341228
ORD1010,Pen,Furniture,South,2022-01-11,1160.76,593.2025776480485
ORD1011,Monitor,Office Supplies,East,2022-01-12,1777.01,908.1351119149168
ORD1012,Phone,Office Supplies,South,2022-01-13,458.54,234.33535782998743
ORD1013,Laptop,Furniture,East,2022-01-14,629.86,321.88787997294867
ORD1014,Table,Office Supplies,West,2022-01-15,1430.68,731.1443052737088
ORD1015,Pen,Furniture,East,2022-01-16,1708.66,873.2050693718897
ORD1016,Phone,Technology,West,2022-01-17,1727.02,882.5878869445302
ORD1017,Phone,Office Supplies,South,2022-01-18,868.57,443.8798398185375
ORD1018,Table,Technology,South,2022-01-19,1786.76,913.1178173252242
ORD1019,Pen,Furniture,West,2022-01-20,1716.76,877.3445477127605
ORD1020,Laptop,Office Supplies,North,2022-01-21,1877.71,959.5975154859897
ORD1021,Chair,Furniture,West,2022-01-22,1592.15,813.6630173354877
ORD1022,Pen,Technology,North,2022-01-23,1371.08,700.6859214322395
ORD1023,Table,Furniture,East,2022-01-24,1203.3,614.9425046382515
ORD1024,Phone,Office Supplies,East,2022-01-25,807.34,412.5884498418067
ORD1025,Laptop,Office Supplies,East,2022-01-26,1886.25,963.9618543787102
ORD1026,Pen,Technology,South,2022-01-27,1949.96,996.5206401931397
ORD1027,Chair,Furniture,East,2022-01-28,639.45,326.7888179098562
ORD1028,Chair,Office Supplies,North,2022-01-29,680.19,347.6088608243101
ORD1029,Monitor,Technology,East,2022-01-30,1022.67,522.6321376368326
ORD1030,Monitor,Office Supplies,West,2022-01-31,952.01,486.52157719659425
ORD1031,Table,Office Supplies,West,2022-02-01,1989.47,1016.7120956558317
ORD1032,Pen,Furniture,South,2022-02-02,434.26,221.92714374155
ORD1033,Pen,Office Supplies,West,2022-02-03,134.34,68.6540148534054
ORD1034,Phone,Furniture,North,2022-02-04,1038.4,530.670902365462
ORD1035,Phone,Office Supplies,East,2022-02-05,439.76,224.73790063967215
ORD1036,Phone,Technology,South,2022-02-06,796.29,406.9413837101249
ORD1037,Monitor,Office Supplies,East,2022-02-07,1513.92,773.6838333100156
ORD1038,Pen,Furniture,East,2022-02-08,1469.79,751.131342052901
ORD1039,Pen,Furniture,North,2022-02-09,685.32,350.23053044019497
ORD1040,Chair,Technology,West,2022-02-10,1130.83,577.9069496551765
ORD1041,Monitor,Office Supplies,West,2022-02-11,1066.75,545.1590765585098
ORD1042,Laptop,Office Supplies,East,2022-02-12,1309.03,668.9754731543343
ORD1043,Monitor,Technology,South,2022-02-13,575.88,294.3015786346516
ORD1044,Laptop,Office Supplies,West,2022-02-14,1220.75,623.86026970593
ORD1045,Chair,Office Supplies,South,2022-02-15,1959.9,1001.6004444781096
ORD1046,Table,Furniture,West,2022-02-16,1024.81,523.7257775935565
ORD1047,Pen,Office Supplies,South,2022-02-17,1821.59,930.9175741909687
ORD1048,Chair,Office Supplies,North,2022-02-18,925.35,472.8970719413331
ORD1049,Pen,Technology,South,2022-02-19,765.15,391.02738919966606
ORD1050,Phone,Technology,North,2022-02-20,1325.7,677.4946217891882
ORD1051,Table,Furniture,North,2022-02-21,1370.96,700.6245958271898
ORD1052,Table,Office Supplies,South,2022-02-22,1741.92,890.2024829048975
ORD1053,Chair,Office Supplies,North,2022-02-23,537.35,274.6109489465341
ORD1054,Table,Office Supplies,East,2022-02-24,1048.47,535.8171427225693
ORD1055,Laptop,Furniture,North,2022-02-25,1186.81,606.5153444109726
ORD1056,Table,Furniture,West,2022-02-26,1560.25,797.3606273263791
ORD1057,Pen,Technology,South,2022-02-27,182.85,93.44489069484275
